+--------------------------------------------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                              |  ID | Effects                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| randomthings:collapse                      |  41 | PotionEffect:{Potion:[reg:randomthings:collapse,name:Collapse,isBad:true,isBeneficial:false],amplifier:0,duration:450,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| randomthings:long_collapse                 |  42 | PotionEffect:{Potion:[reg:randomthings:collapse,name:Collapse,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| randomthings:strong_collapse               |  43 | PotionEffect:{Potion:[reg:randomthings:collapse,name:Collapse,isBad:true,isBeneficial:false],amplifier:1,duration:300,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                     |
| toughasnails:cold_resistance_type          |  37 | PotionEffect:{Potion:[reg:toughasnails:cold_resistance,name:potion.cold_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                               |
| toughasnails:heat_resistance_type          |  39 | PotionEffect:{Potion:[reg:toughasnails:heat_resistance,name:potion.heat_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                               |
| toughasnails:long_cold_resistance_type     |  38 | PotionEffect:{Potion:[reg:toughasnails:cold_resistance,name:potion.cold_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                               |
| toughasnails:long_heat_resistance_type     |  40 | PotionEffect:{Potion:[reg:toughasnails:heat_resistance,name:potion.heat_resistance,isBad:false,isBeneficial:true],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                               |
| xat:dwarf                                  | 201 | PotionEffect:{Potion:[reg:xat:dwarf,name:effect.dwarf,isBad:false,isBeneficial:false],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                           |
| xat:enhanced                               | 198 | PotionEffect:{Potion:[reg:xat:enhanced,name:effect.enhanced,isBad:false,isBeneficial:false],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                        |
| xat:fairy                                  | 200 | PotionEffect:{Potion:[reg:xat:fairy,name:effect.fairy,isBad:false,isBeneficial:false],amplifier:0,duration:1200,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                           |
| xat:restorative                            | 199 | PotionEffect:{Potion:[reg:xat:restorative,name:effect.restorative,isBad:false,isBeneficial:false],amplifier:0,duration:0,isSplashPotion:false,isAmbient:false}                                                                                                                                                                                                                                                                                                                                  |
+--------------------------------------------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                              |  ID | Effects                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
+--------------------------------------------+-----+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
