+-------------------------------------------------+----------+---------------------------------------------+--------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                                   | Meta/dmg | Display name                                | Ore Dict Keys                                                                  | NBT                                                                                                                                         |
| earthenbounty:mithril_block                     |        0 | Block of Mithril                            | blockMithril,ironBlockReplacement                                              |                                                                                                                                             |
| earthenbounty:mithril_ingot                     |        0 | Mithril Ingot                               | ingotMithril,ironIngotReplacement                                              |                                                                                                                                             |
| earthenbounty:mithril_ore                       |        0 | Mithril Ore                                 | oreMithril                                                                     |                                                                                                                                             |
| earthenbounty:platinum_block                    |        0 | Block of Platinum                           | blockPlatinum                                                                  |                                                                                                                                             |
| earthenbounty:platinum_ingot                    |        0 | Platinum Ingot                              | ingotPlatinum                                                                  |                                                                                                                                             |
| earthenbounty:platinum_ore                      |        0 | Platinum Ore                                | orePlatinum                                                                    |                                                                                                                                             |
| earthenbounty:salt_block                        |        0 | Salt Cube                                   | blockSalt                                                                      |                                                                                                                                             |
| earthenbounty:salt_item                         |        0 | Salt                                        | salt                                                                           |                                                                                                                                             |
| earthenbounty:salt_ore                          |        0 | Salt Ore                                    | oreSalt                                                                        |                                                                                                                                             |
| earthenbounty:sulfur_item                       |        0 | Sulfur                                      | sulfur                                                                         |                                                                                                                                             |
| earthenbounty:tin_ore                           |        0 | Tin Ore                                     | oreTin                                                                         |                                                                                                                                             |
| familiarfauna:turkey_leg_cooked                 |        0 | Cooked Turkey Leg                           | cookedTurkey,foodTurkeycooked,listAllmeatcooked,listAllturkeycooked            |                                                                                                                                             |
| familiarfauna:turkey_leg_raw                    |        0 | Raw Turkey Leg                              | foodTurkeyraw,listAllmeatraw,listAllturkeyraw,rawTurkey                        |                                                                                                                                             |
| familiarfauna:venison_cooked                    |        0 | Cooked Venison                              | cookedVenison,foodVenisoncooked,listAllmeatcooked,listAllvenisoncooked         |                                                                                                                                             |
| familiarfauna:venison_raw                       |        0 | Raw Venison                                 | foodVenisonraw,listAllmeatraw,listAllvenisonraw,rawVenison                     |                                                                                                                                             |
| forgottenitems:golem_boots                      |    32767 | (WILDCARD)                                  | itemArmor,itemBoots                                                            |                                                                                                                                             |
| forgottenitems:golem_chestplate                 |    32767 | (WILDCARD)                                  | itemArmor,itemChestplate                                                       |                                                                                                                                             |
| forgottenitems:golem_helmet                     |    32767 | (WILDCARD)                                  | itemArmor,itemHelmet                                                           |                                                                                                                                             |
| forgottenitems:golem_leggings                   |    32767 | (WILDCARD)                                  | itemArmor,itemLeggings                                                         |                                                                                                                                             |
| forgottenitems:water_talisman                   |        0 | §eWater Talisman                            | listAllwater                                                                   |                                                                                                                                             |
| forgottenitems:water_talisman                   |    32767 | (WILDCARD)                                  | listAllwater                                                                   |                                                                                                                                             |
| harvestcraft:agaveitem                          |        0 | Agave                                       | cropAgave,listAllfruit                                                         |                                                                                                                                             |
| harvestcraft:agaveseeditem                      |        0 | Agave Seed                                  | listAllseed,seedAgave                                                          |                                                                                                                                             |
| harvestcraft:akutuqitem                         |        0 | Akutuq                                      | foodAkutuq                                                                     |                                                                                                                                             |
| harvestcraft:almond_sapling                     |        0 | Almond Sapling                              | treeSapling                                                                    |                                                                                                                                             |
| harvestcraft:almondbutteritem                   |        0 | Almond Butter                               | foodAlmondbutter,listAllnutbutter                                              |                                                                                                                                             |
| harvestcraft:almonditem                         |        0 | Almond                                      | cropAlmond,listAllnut                                                          |                                                                                                                                             |
| harvestcraft:amaranthitem                       |        0 | Amaranth                                    | cropAmaranth,listAllgrain                                                      |                                                                                                                                             |
| harvestcraft:amaranthseeditem                   |        0 | Amaranth Seed                               | listAllseed,seedAmaranth                                                       |                                                                                                                                             |
| harvestcraft:anchovypepperonipizzaitem          |        0 | Anchovy Pepperoni Pizza                     | foodAnchovypepperonipizza                                                      |                                                                                                                                             |
| harvestcraft:anchovyrawitem                     |        0 | Raw Anchovy                                 | foodAnchovyraw,listAllfishfresh,listAllfishraw                                 |                                                                                                                                             |
| harvestcraft:apple_sapling                      |        0 | Apple Sapling                               | treeSapling                                                                    |                                                                                                                                             |
| harvestcraft:applecideritem                     |        0 | Apple Cider                                 | foodApplecider                                                                 |                                                                                                                                             |
| harvestcraft:applefritteritem                   |        0 | Apple Fritter                               | foodApplefritter                                                               |                                                                                                                                             |
| harvestcraft:applejellyitem                     |        0 | Apple Jelly                                 | foodApplejelly                                                                 |                                                                                                                                             |
| harvestcraft:applejellysandwichitem             |        0 | Apple Jelly Sandwich                        | foodApplejellysandwich                                                         |                                                                                                                                             |
| harvestcraft:applejuiceitem                     |        0 | Apple Juice                                 | foodApplejuice,listAlljuice                                                    |                                                                                                                                             |
| harvestcraft:applepieitem                       |        0 | Apple Pie                                   | foodApplepie                                                                   |                                                                                                                                             |
| harvestcraft:applesauceitem                     |        0 | Apple Sauce                                 | foodApplesauce                                                                 |                                                                                                                                             |
| harvestcraft:applesmoothieitem                  |        0 | Apple Smoothie                              | foodApplesmoothie,listAllsmoothie                                              |                                                                                                                                             |
| harvestcraft:applesnowitem                      |        0 | Apple Snow                                  | foodApplesnow                                                                  |                                                                                                                                             |
| harvestcraft:appleyogurtitem                    |        0 | Apple Yogurt                                | foodAppleyogurt,listAllyogurt                                                  |                                                                                                                                             |
| harvestcraft:apricot_sapling                    |        0 | Apricot Sapling                             | treeSapling                                                                    |                                                                                                                                             |
| harvestcraft:apricotglazedporkitem              |        0 | Apricot Glazed Pork                         | foodApricotglazedpork                                                          |                                                                                                                                             |
| harvestcraft:apricotitem                        |        0 | Apricot                                     | cropApricot,listAllfruit                                                       |                                                                                                                                             |
| harvestcraft:apricotjellyitem                   |        0 | Apricot Jelly                               | foodApricotjelly                                                               |                                                                                                                                             |
| harvestcraft:apricotjellysandwichitem           |        0 | Apricot Jelly Sandwich                      | foodApricotjellysandwich                                                       |                                                                                                                                             |
| harvestcraft:apricotjuiceitem                   |        0 | Apricot Juice                               | foodApricotjuice,listAlljuice                                                  |                                                                                                                                             |
| harvestcraft:apricotsmoothieitem                |        0 | Apricot Smoothie                            | foodApricotsmoothie,listAllsmoothie                                            |                                                                                                                                             |
| harvestcraft:apricotyogurtitem                  |        0 | Apricot Yogurt                              | foodApricotyogurt,listAllyogurt                                                |                                                                                                                                             |
| harvestcraft:arrowrootitem                      |        0 | Arrowroot                                   | cropArrowroot,listAllveggie                                                    |                                                                                                                                             |
| harvestcraft:arrowrootseeditem                  |        0 | Arrowroot Seed                              | listAllseed,seedArrowroot                                                      |                                                                                                                                             |
| harvestcraft:artichokeitem                      |        0 | Artichoke                                   | cropArtichoke,listAllgreenveggie,listAllveggie                                 |                                                                                                                                             |
| harvestcraft:artichokeseeditem                  |        0 | Artichoke Seed                              | listAllseed,seedArtichoke                                                      |                                                                                                                                             |
| harvestcraft:asparagusitem                      |        0 | Asparagus                                   | cropAsparagus,listAllgreenveggie,listAllveggie                                 |                                                                                                                                             |
| harvestcraft:asparagusquicheitem                |        0 | Asparagus Quiche                            | foodAsparagusquiche                                                            |                                                                                                                                             |
| harvestcraft:asparagusseeditem                  |        0 | Asparagus Seed                              | listAllseed,seedAsparagus                                                      |                                                                                                                                             |
| harvestcraft:asparagussoupitem                  |        0 | Asparagus Soup                              | foodAsparagussoup                                                              |                                                                                                                                             |
| harvestcraft:avocadoburritoitem                 |        0 | Avocado Burrito                             | foodAvocadoburrito                                                             |                                                                                                                                             |
| harvestcraft:avocadoitem                        |        0 | Avocado                                     | cropAvocado                                                                    |                                                                                                                                             |
| harvestcraft:babaganoushitem                    |        0 | Baba Ganoush                                | foodBabaganoush                                                                |                                                                                                                                             |
| harvestcraft:baconandeggsitem                   |        0 | Bacon and Eggs                              | foodBaconandeggs                                                               |                                                                                                                                             |
| harvestcraft:baconcheeseburgeritem              |        0 | Bacon Cheeseburger                          | foodBaconcheeseburger                                                          |                                                                                                                                             |
| harvestcraft:baconmushroomburgeritem            |        0 | Bacon Mushroom Burger                       | foodBaconmushroomburger                                                        |                                                                                                                                             |
| harvestcraft:baconpancakesitem                  |        0 | Bacon Pancakes                              | foodBaconpancakes                                                              |                                                                                                                                             |
| harvestcraft:baconwrappedchiliitem              |        0 | Bacon Wrapped Chili                         | foodBaconwrappedchili                                                          |                                                                                                                                             |
| harvestcraft:baconwrappeddatesitem              |        0 | Bacon Wrapped Dates                         | foodBaconwrappeddates                                                          |                                                                                                                                             |
| harvestcraft:bakedalaskaitem                    |        0 | Baked Alaska                                | foodBakedalaska                                                                |                                                                                                                                             |
| harvestcraft:bakedbeansitem                     |        0 | Baked Beans                                 | foodBakedbeans                                                                 |                                                                                                                                             |
| harvestcraft:bakedbeetsitem                     |        0 | Baked Beets                                 | foodBakedbeets                                                                 |                                                                                                                                             |
| harvestcraft:bakedcactusitem                    |        0 | Baked Cactus                                | foodBakedcactus                                                                |                                                                                                                                             |
| harvestcraft:bakedhamitem                       |        0 | Baked Ham                                   | foodBakedham                                                                   |                                                                                                                                             |
| harvestcraft:bakedturnipsitem                   |        0 | Baked Turnips                               | foodBakedturnips                                                               |                                                                                                                                             |
| harvestcraft:bakewareitem                       |        0 | Bakeware                                    | toolBakeware                                                                   |                                                                                                                                             |
| harvestcraft:baklavaitem                        |        0 | Baklava                                     | foodBaklava                                                                    |                                                                                                                                             |
| harvestcraft:bambooshootitem                    |        0 | Bamboo Shoot                                | cropBambooshoot,listAllveggie                                                  |                                                                                                                                             |
| harvestcraft:bambooshootseeditem                |        0 | Bamboo Shoot Seed                           | listAllseed,seedBambooshoot                                                    |                                                                                                                                             |
| harvestcraft:bamboosteamedriceitem              |        0 | Bamboo Steamed Rice                         | foodBamboosteamedrice                                                          |                                                                                                                                             |
| harvestcraft:banana_sapling                     |        0 | Banana Sapling                              | treeSapling                                                                    |                                                                                                                                             |
| harvestcraft:bananaitem                         |        0 | Banana                                      | cropBanana,listAllfruit                                                        |                                                                                                                                             |
| harvestcraft:bananamilkshakeitem                |        0 | Banana Milkshake                            | foodBananamilkshake                                                            |                                                                                                                                             |
| harvestcraft:banananutbreaditem                 |        0 | Banana Nut Bread                            | foodBanananutbread                                                             |                                                                                                                                             |
| harvestcraft:bananasmoothieitem                 |        0 | Banana Smoothie                             | foodBananasmoothie,listAllsmoothie                                             |                                                                                                                                             |
| harvestcraft:bananasplititem                    |        0 | Banana Split                                | foodBananasplit                                                                |                                                                                                                                             |
| harvestcraft:bananayogurtitem                   |        0 | Banana Yogurt                               | foodBananayogurt,listAllyogurt                                                 |                                                                                                                                             |
| harvestcraft:bangersandmashitem                 |        0 | Bangers and Mash                            | foodBangersandmash                                                             |                                                                                                                                             |
| harvestcraft:barleyitem                         |        0 | Barley                                      | cropBarley,listAllgrain                                                        |                                                                                                                                             |
| harvestcraft:barleyseeditem                     |        0 | Barley Seed                                 | listAllseed,seedBarley                                                         |                                                                                                                                             |
| harvestcraft:bassrawitem                        |        0 | Raw Bass                                    | foodBassraw,listAllfishfresh,listAllfishraw                                    |                                                                                                                                             |
| harvestcraft:battenbergitem                     |        0 | Battenberg                                  | foodBattenberg                                                                 |                                                                                                                                             |
| harvestcraft:batteredsausageitem                |        0 | Battered Sausage                            | foodBatteredsausage                                                            |                                                                                                                                             |
| harvestcraft:batteritem                         |        0 | Batter                                      | foodBatter                                                                     |                                                                                                                                             |
| harvestcraft:bbqchickenbiscuititem              |        0 | BBQ Chicken Biscuit                         | foodBbqchickenbiscuit                                                          |                                                                                                                                             |
| harvestcraft:bbqchickenpizzaitem                |        0 | BBQ Chicken Pizza                           | foodBbqchickenpizza                                                            |                                                                                                                                             |
| harvestcraft:bbqjackfruititem                   |        0 | BBQ Jackfruit                               | foodBbqjackfruit,listAllporkcooked,listAllporkraw                              |                                                                                                                                             |
| harvestcraft:bbqplatteritem                     |        0 | BBQ Platter                                 | foodBbqplatter                                                                 |                                                                                                                                             |
| harvestcraft:bbqpotatochipsitem                 |        0 | BBQ Potato Chips                            | foodBbqpotatochips                                                             |                                                                                                                                             |
| harvestcraft:bbqpulledporkitem                  |        0 | BBQ Pulled Pork                             | foodBbqpulledpork                                                              |                                                                                                                                             |
| harvestcraft:bbqsauceitem                       |        0 | BBQ Sauce                                   | foodBbqsauce                                                                   |                                                                                                                                             |
| harvestcraft:beanburritoitem                    |        0 | Bean Burrito                                | foodBeanburrito                                                                |                                                                                                                                             |
| harvestcraft:beanitem                           |        0 | Beans                                       | cropBean,listAllveggie                                                         |                                                                                                                                             |
| harvestcraft:beansandriceitem                   |        0 | Beans and Rice                              | foodBeansandrice                                                               |                                                                                                                                             |
| harvestcraft:beanseeditem                       |        0 | Bean Seed                                   | listAllseed,seedBean                                                           |                                                                                                                                             |
| harvestcraft:beansontoastitem                   |        0 | Beans on Toast                              | foodBeansontoast                                                               |                                                                                                                                             |
| harvestcraft:beefjerkyitem                      |        0 | Beef Jerky                                  | foodBeefjerky                                                                  |                                                                                                                                             |
| harvestcraft:beefwellingtonitem                 |        0 | Beef Wellington                             | foodBeefwellington                                                             |                                                                                                                                             |
| harvestcraft:beeswaxitem                        |        0 | Pressed Wax                                 | materialPressedwax                                                             |                                                                                                                                             |
| harvestcraft:beetburgeritem                     |        0 | Beet Burger                                 | foodBeetburger                                                                 |                                                                                                                                             |
| harvestcraft:beetitem                           |        0 | Beet                                        | cropBeet,listAllveggie                                                         |                                                                                                                                             |
| harvestcraft:beetsaladitem                      |        0 | Beet Salad                                  | foodBeetsalad                                                                  |                                                                                                                                             |
| harvestcraft:beetseeditem                       |        0 | Beet Seed                                   | listAllseed,seedBeet                                                           |                                                                                                                                             |
| harvestcraft:beetsoupitem                       |        0 | Beet Soup                                   | foodBeetsoup                                                                   |                                                                                                                                             |
| harvestcraft:bellpepperitem                     |        0 | Bellpepper                                  | cropBellpepper,listAllpepper,listAllveggie                                     |                                                                                                                                             |
| harvestcraft:bellpepperseeditem                 |        0 | Bellpepper Seed                             | listAllseed,seedBellpepper                                                     |                                                                                                                                             |
| harvestcraft:bentoboxitem                       |        0 | Bento Box                                   | foodBentobox                                                                   |                                                                                                                                             |
| harvestcraft:berrymeringuenestitem              |        0 | Berry Meringue Nest                         | foodBerrymeringuenest                                                          |                                                                                                                                             |
| harvestcraft:berryvinaigrettesaladitem          |        0 | Berry Vinaigrette Salad                     | foodBerryvinaigrettesalad                                                      |                                                                                                                                             |
| harvestcraft:bibimbapitem                       |        0 | Bibimbap                                    | foodBibimbap                                                                   |                                                                                                                                             |
| harvestcraft:biscuititem                        |        0 | Biscuit                                     | foodBiscuit                                                                    |                                                                                                                                             |
| harvestcraft:biscuitsandgravyitem               |        0 | Biscuits and Gravy                          | foodBiscuitsandgravy                                                           |                                                                                                                                             |
| harvestcraft:blackberrycobbleritem              |        0 | Blackberry Cobbler                          | foodBlackberrycobbler                                                          |                                                                                                                                             |
| harvestcraft:blackberryitem                     |        0 | Blackberry                                  | cropBlackberry,listAllberry,listAllfruit                                       |                                                                                                                                             |
| harvestcraft:blackberryjellyitem                |        0 | Blackberry Jelly                            | foodBlackberryjelly                                                            |                                                                                                                                             |
| harvestcraft:blackberryjellysandwichitem        |        0 | Blackberry Jelly Sandwich                   | foodBlackberryjellysandwich                                                    |                                                                                                                                             |
| harvestcraft:blackberryjuiceitem                |        0 | Blackberry Juice                            | foodBlackberryjuice,listAlljuice                                               |                                                                                                                                             |
| harvestcraft:blackberryseeditem                 |        0 | Blackberry Seed                             | listAllseed,seedBlackberry                                                     |                                                                                                                                             |
| harvestcraft:blackberrysmoothieitem             |        0 | Blackberry Smoothie                         | foodBlackberrysmoothie,listAllsmoothie                                         |                                                                                                                                             |
| harvestcraft:blackberryyogurtitem               |        0 | Blackberry Yogurt                           | foodBlackberryyogurt,listAllyogurt                                             |                                                                                                                                             |
| harvestcraft:blackpaellaitem                    |        0 | Black Paella                                | foodBlackpaella                                                                |                                                                                                                                             |
| harvestcraft:blackpepperitem                    |        0 | Black Pepper                                | foodBlackpepper                                                                |                                                                                                                                             |
| harvestcraft:blazingsoupitem                    |        0 | Blazing Soup                                | foodBlazingsoup                                                                |                                                                                                                                             |
| harvestcraft:bltitem                            |        0 | BLT                                         | foodBlt                                                                        |                                                                                                                                             |
| harvestcraft:blueberryitem                      |        0 | Blueberry                                   | cropBlueberry,listAllberry,listAllfruit                                        |                                                                                                                                             |
| harvestcraft:blueberryjellyitem                 |        0 | Blueberry Jelly                             | foodBlueberryjelly                                                             |                                                                                                                                             |
| harvestcraft:blueberryjellysandwichitem         |        0 | Blueberry Jelly Sandwich                    | foodBlueberryjellysandwich                                                     |                                                                                                                                             |
| harvestcraft:blueberryjuiceitem                 |        0 | Blueberry Juice                             | foodBlueberryjuice,listAlljuice                                                |                                                                                                                                             |
